37,IX-10 D4,,,,"NEW SKAR AUDIO IX-10 D4 10"" 400 WATT MAX POWER DUAL 4 OHM CAR SUBWOOFER",0.00,0.00,0.00,0.00,AISLE: 5 || LEVEL: 1 || LOC: A14,0,,yes,,
38,IX-12 D2,,,,"Skar Audio IX-12 D2 12"" 500 Watt Max Power Dual 2 Ohm Car Subwoofer",0.00,0.00,0.00,0.00,AISLE: 5 || LEVEL: 1 || LOC: A11,0,,yes,,
39,IX-12 D4,,,,"Skar Audio IX-12 D4 12"" 500 Watt Max Power Dual 4 Ohm Car Subwoofer",0.00,0.00,0.00,0.00,AISLE: 5 || LEVEL: 1 || LOC: A12,0,,yes,,
40,IX-1X8D2,,,,"Skar Audio Single 8"" 300W Dual 2 Ohm Loaded Sealed Subwoofer Enclosure | IX-1X8D2",0.00,0.00,0.00,0.00,AISLE: 5 || LEVEL: 2 || LOC: B15,0,,yes,,
41,IX-3X12D2,,,,"Skar Audio Triple 12"" 1500W Dual 2 Ohm Loaded Sealed Rear Firing Subwoofer Enclosure | IX-3X12D2",0.00,0.00,0.00,0.00,AISLE: 1 || LEVEL: 1 || LOC: A17,0,,yes,,
42,IX-8 D2,,,,"Skar Audio IX-8 D2 8"" 300 Watt Max Power Dual 2 Ohm Car Subwoofer",0.00,0.00,0.00,0.00,AISLE: 5 || LEVEL: 1 || LOC: A15,0,,yes,,
43,IX-8 D4,,,,"IX-8 | 8"" 300 Watt Max Power Car Subwoofer - Dual 4 Ohm",0.00,0.00,0.00,0.00,AISLE: 5 || LEVEL: 1 || LOC: A16,0,,yes,,
44,IX10D4-2X10VENTED,,,,"Skar Audio Dual 10"" 800W Dual 4 Ohm Loaded Vented Subwoofer Enclosure | IX10D4-2X10VENTED",0.00,0.00,0.00,0.00,,0,,yes,,
45,IX12D2-2X12VENTED,,,,"Dual 12"" 1,000 Watt IX Series Loaded Vented Subwoofer Enclosure - D2 - Wired to 2 Ohm Final Load",0.00,0.00,0.00,0.00,No Location Yet (IN STOCK),0,,yes,,
46,IX12D4-2X12VENTED,,,,"Dual 12"" 1,000 Watt IX Series Loaded Vented Subwoofer Enclosure - D4 - Wired to 1 Ohm Final Load",0.00,0.00,0.00,0.00,No Location Yet (IN STOCK),0,,yes,,
47,MA-8 D2,,,,"MA-8 | 8"" 800 Watt Max Power Car Subwoofer - Dual 2 Ohm",0.00,0.00,0.00,0.00,AISLE: 7 || LEVEL: 2 || LOC: B5,0,,yes,,
48,MA-8 D4,,,,"Skar Audio MA-8 D4 8"" 800 Watt Max Power Dual 4 Ohm SPL Car Subwoofer",0.00,0.00,0.00,0.00,AISLE: 7 || LEVEL: 2 || LOC: B6,0,,yes,,
49,NDX33-ST,,,,"NDX33-ST | 3.3"" High Compression Neodymium Super Tweeters - Pair",0.00,0.00,0.00,0.00,AISLE: 6 || LEVEL: 3 || LOC: C9,0,,yes,,
50,NPX10-4,,,,"NPX10 | 10"" 400 Watt Mid-Range Loudspeaker - Single 4 Ohm",0.00,0.00,0.00,0.00,AISLE: 1 || LEVEL: 2 || LOC: B7,0,,yes,,
51,NPX10-8,,,,"NPX10 | 10"" 400 Watt Mid-Range Loudspeaker - Single 8 Ohm",0.00,0.00,0.00,0.00,AISLE: 1 || LEVEL: 2 || LOC: B8,0,,yes,,
